candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.58797586,88.63487042219157,1,0,0,0,0.0,0.0,0.0,0
0.5950778,85.59971098265791,1,0,0,0,0.0,0.0,0.0,0
0.55329305,88.77601410934672,1,0,0,0,0.0,0.0,0.0,0
0.6014434,87.90165856927452,1,3,0,0,0.0,0.0,0.0,0
0.76868516,88.95863951291277,1,3,0,0,0.0,0.0,0.0,0
0.6408877,87.25588235294066,1,2,0,0,0.0,0.0,0.0,0
0.5315366,88.59886777193692,1,3,0,0,0.0,0.0,0.0,0
0.5939092,83.69482878565339,1,3,0,0,0.0,0.0,0.0,0
0.58827406,87.1709051557542,1,2,0,0,0.0,0.0,0.0,1
0.6038726,86.89190600522207,1,2,0,0,0.0,0.0,0.0,1
0.6038726,86.02534738127947,1,2,0,0,0.0,0.0,0.0,1
0.5698659,80.81719817767555,1,0,0,0,0.0,0.0,0.0,0
0.5950778,86.95327800055969,1,0,0,0,0.0,0.0,0.0,0
0.6781114,88.97237870252602,1,0,0,0,0.0,0.0,0.0,1
0.58330613,93.06667874614986,1,0,0,0,0.0,0.0,0.0,1
0.56428206,89.17738720782759,1,0,0,0,0.0,0.0,0.0,0
0.56428206,81.85450262728799,1,0,0,0,0.0,0.0,0.0,1
0.53386253,88.9884934439386,0,1,0,0,0.0,0.0,0.0,1
0.53604,99.09545644018483,0,3,0,0,0.0,0.0,0.0,0
0.565252,99.0404592673595,0,3,0,0,0.0,0.0,0.0,0
0.53604,99.51238917935883,0,3,0,0,0.0,0.0,0.0,1
0.6050697,96.30841552216782,1,0,0,0,0.0,0.0,0.0,0
0.5623171,88.77347183379908,1,0,0,0,0.0,0.0,0.0,1
0.69645786,89.31515957446825,1,0,0,0,0.0,0.0,0.0,1
0.5968098,88.05628964059193,1,0,0,0,0.0,0.0,0.0,1
0.5945918,89.28491523965225,1,0,0,0,0.0,0.0,0.0,1
0.5249364,85.29888128235112,1,0,0,0,0.0,0.0,0.0,0
0.5322035,83.39144873391396,1,0,0,0,0.0,0.0,0.0,1
0.5615742,86.48873364164106,2,3,0,0,0.0,0.0,0.0,0
0.67003727,89.26923982113478,1,0,0,0,0.0,0.0,0.0,1
0.6954537,95.43692003948634,1,3,0,0,0.0,0.0,0.0,0
0.6154097,99.38387547525424,1,2,0,0,0.0,0.0,0.0,1
0.57350856,98.01487061268222,1,2,0,0,0.0,0.0,0.0,1
0.6738555,96.71129072998257,1,2,0,0,0.0,0.0,0.0,1
0.5258749,84.40119996842176,1,3,0,0,0.0,0.0,0.0,1
0.53798395,85.13302281518943,1,3,0,0,0.0,0.0,0.0,1
0.5249364,84.94118575826957,1,0,0,0,0.0,0.0,0.0,0
0.5399958,87.60322096786885,1,0,0,0,0.0,0.0,0.0,0
0.7198126,89.11831067399436,1,3,0,0,0.0,0.0,0.0,0
0.61548406,86.57936062815494,1,3,0,0,0.0,0.0,0.0,0
0.710906,89.2166658083122,1,3,0,0,0.0,0.0,0.0,1
0.6113808,88.42741326350747,1,3,0,0,0.0,0.0,0.0,1
0.7198126,88.99537917912478,1,3,0,0,0.0,0.0,0.0,1
0.56945556,83.64446860559946,1,0,0,0,0.0,0.0,0.0,1
0.5479267,92.16662272607458,1,0,0,0,0.0,0.0,0.0,1
0.55614597,85.41482744783306,2,3,0,0,0.0,0.0,0.0,0
0.51544356,89.39058097410434,2,3,0,0,0.0,0.0,0.0,1
0.6076908,81.40559991004186,1,3,0,0,0.0,0.0,0.0,0
0.529667,88.70270580142173,2,3,0,0,0.0,0.0,0.0,1
0.5174319,88.89978976874613,0,3,0,0,0.0,0.0,0.0,1
0.531688,88.97969807391951,0,3,0,0,0.0,0.0,0.0,1
0.6039108,90.08948971820206,1,3,0,0,0.0,0.0,0.0,0
0.7483338,99.00657745520554,1,3,0,0,0.0,0.0,0.0,0
0.6517414,95.18004660029638,1,2,0,0,0.0,0.0,0.0,0
0.67788047,88.97863312623127,1,3,0,0,0.0,0.0,0.0,0
0.67788047,89.22399476624209,1,3,0,0,0.0,0.0,0.0,0
0.56945556,84.65899581589956,1,0,0,0,0.0,0.0,0.0,0
0.56945556,84.52301255230113,1,0,0,0,0.0,0.0,0.0,0
0.56945556,84.55857740585725,1,0,0,0,0.0,0.0,0.0,0
0.51805776,82.37866108786581,1,0,0,0,0.0,0.0,0.0,0
0.56945556,82.497907949791,1,0,0,0,0.0,0.0,0.0,0
0.6050697,85.0269755633132,1,0,0,0,0.0,0.0,0.0,0
0.6050697,84.96667724531817,1,0,0,0,0.0,0.0,0.0,0
0.5427072,80.71336553945261,2,0,0,0,0.0,0.0,0.0,0
0.5950778,85.79511264401586,1,0,0,0,0.0,0.0,0.0,1
0.56626207,85.57320926966293,1,3,0,0,0.0,0.0,0.0,1
0.5554774,85.4362771020621,1,0,0,0,0.0,0.0,0.0,1
0.58575106,82.262473363216,1,0,0,0,0.0,0.0,0.0,0
0.5383128,90.51027027027,2,2,0,0,0.0,0.0,0.0,0
0.5413004,83.23347107437952,1,0,0,0,0.0,0.0,0.0,1
0.66523814,95.53403565640194,1,2,0,0,0.0,0.0,0.0,0
0.67009753,93.3338735818477,1,2,0,0,0.0,0.0,0.0,0
0.7058194,94.6989465153972,1,2,0,0,0.0,0.0,0.0,0
0.51710886,84.21744822661267,1,3,0,0,0.0,0.0,0.0,0
0.64770746,91.60339091199124,1,3,0,0,0.0,0.0,0.0,1
0.5282276,86.72690108718193,0,0,0,0,0.0,0.0,0.0,0
0.5807296,82.50446542485318,1,0,0,0,0.0,0.0,0.0,0
0.5632503,88.06859205776136,1,3,0,0,0.0,0.0,0.0,1
0.55672425,86.99142077213027,1,0,0,0,0.0,0.0,0.0,0
